"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = RUSSIA""]"																																													
	1969	11	22	23	9	37	4	1	7.7			8	"RUSSIA"	"KAMCHATKA"	57.7	163.6	15	17		3.9	3								1												1				
	1970	5	14	18	12		3	1	6.5			0	"RUSSIA"	"CASPIAN SEA"	43	47.1		0																	3						2		2		
	1970	12	4	1	59	25	4	1	5.1			0	"RUSSIA"	"BLACK SEA"	43.84	39.34	0.8	1			2																								
	1971	9	5	18	35	25	4	1	7.1			0	"RUSSIA"	"TATAR STRAIT"	46.5	141.2	2	29			1																				1				1
	1971	9	6	13	37	10.8	4	1	5.5			0	"RUSSIA"	"TATAR STRAIT"	46.7	141.4	0.32	11																											
	1971	9	8	11	48	23.4	4	1	6.6			0	"RUSSIA"	"TATAR STRAIT"	46.4	141.1	0.09	2			-3																								
	1971	9	8	16	59	52.6	4	1	6.2			0	"RUSSIA"	"TATAR STRAIT"	46.3	140.9	0.07	1		-0.7	-3																								
	1971	9	27	19	1	45.3	4	1	6			0	"RUSSIA"	"TATAR STRAIT"	46.4	141.1	0.03	1			-4																								
	1971	12	15	8	29	55.3	4	1	7.8			3	"RUSSIA"	"KAMCHATKA"	56	163.3	0.47	12																											
	1973	2	28	6	37	49.5	4	1	7.2			0	"RUSSIA"	"N. KURIL ISLANDS"	50.5	156.6	1.5	7		0.6	0.5																								
	1973	6	24	2	43	25.5	4	1	7.1			0	"RUSSIA"	"S. KURIL ISLANDS"	43.3	146.4	0.64	32		2.2																		1	1		1				
	1973	6	26	22	32	0.2	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	146.6	0.21	2																											
	1974	9	27	5	47	29.4	4	1	6.7			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	146.7	0.37	3		0.6	-1																								
	1975	6	10	13	47	14.5	4	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	43.024	147.734	5.5	52		2.3	2								2												2				
	1976	1	21	10	5	24.1	4	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	44.915	149.123	0.38	5		-1.3	-2.5																								
	1978	3	22	0	50	32.2	4	1	6.7			0	"RUSSIA"	"S. KURIL ISLANDS"	44.026	149.002	0.07	2		0.1	-2.5																								
	1978	3	22	21	34	33.4	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	44.14	149.029	0.05	2			-3																								
	1978	3	23	0	31	2.1	4	1	6.8			0	"RUSSIA"	"S. KURIL ISLANDS"	44.209	148.971	0.17	4		-2.3	-1.5																								
	1978	3	23	3	15	20.3	4	1	7.5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.932	148.439	0.3	15		-2.3	0																								
	1978	3	24	19	47	50.7	4	1	7.6			0	"RUSSIA"	"S. KURIL ISLANDS"	44.244	148.862	0.65	20		-1.7	0																								
	1980	2	23	5	51	3.2	4	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	43.53	146.753	0.16	10		-0.7	-2																								
	1983	8	17	10	55	54.1	4	1	7.1			0	"RUSSIA"	"KAMCHATKA BAY, RUSSIA"	55.867	161.287	0.1	1		-3.3																									
	1984	3	24	9	44	2.6	4	1	7.2			0	"RUSSIA"	"S. KURIL ISLANDS"	44.117	148.192	0.2	3		-2.3	-2																								
	1984	12	28	10	37	53.7	4	1	6.8			0	"RUSSIA"	"KAMCHATKA"	56.194	163.46	0.2	2		-2.3																									
	1991	2	16	1	23	40.4	4	1	5.7			0	"RUSSIA"	"N. KURIL ISLANDS"	48.268	154.328	0.1	1		-3.3																									
	1991	12	22	8	43	13.4	1	1	7.6			0	"RUSSIA"	"S. KURIL ISLANDS"	45.533	151.021	0.52	6			0.5																								
	1993	6	8	13	3	36.4	4	1	7.5			0	"RUSSIA"	"KAMCHATKA"	51.218	157.829	0.1	6		-1	-0.5																								
	1993	11	13	1	18	4.1	4	1	7			0	"RUSSIA"	"KAMCHATKA"	51.934	158.647	0.05	1		-3.3	-3																								
	1994	10	4	13	22	55.8	4	1	8.3			2	"RUSSIA"	"S. KURIL ISLANDS"	43.773	147.321	10.4	119		2.3	2.6								1	2	1	1	1	11	1			382	3		3				
	1994	10	9	7	55	39.5	4	1	7.3			0	"RUSSIA"	"S. KURIL ISLANDS"	43.905	147.916	0.2	2		-3.3	-3																								
	1994						3	8				0	"RUSSIA"	"KERCH STRAIT"	45.22	36.72	0.5	0																											
	1995	5	27	13	3	52.6	4	1	7.1			0	"RUSSIA"	"SAKHALIN ISLAND"	52.629	142.827	0.1	2		-2.3	-2													1989	4			750	3	300	4				
	1995	12	3	18	1	8.9	4	1	7.9			0	"RUSSIA"	"S. KURIL ISLANDS"	44.663	149.3	1.1	38		0.1	0.5																								
	1996	1	2	15	40		4	6		2921		2	"RUSSIA"	"KARYMSKOYE, KAMCHATKA, RUSSIA"	54.05	159.43	30	1											1												1				
	1997	12	5	11	26	54.6	4	1	7.8			0	"RUSSIA"	"KAMCHATKA"	54.841	162.035	8	19		0.6	0.5																								
	1997	12	14	3	30		3	8				0	"RUSSIA"	"KAMCHATKA"	54.841	162.035	8	1		3	2								1												1				
	2000	7	8				3	8				0	"RUSSIA"	"KERCH STRAIT"	45.12	36.7	0.5	1			-1																								
	2006	11	15	11	14	13.5	4	1	8.3			3	"RUSSIA"	"S. KURIL ISLANDS"	46.592	153.266	21.9	261								1	1		2									1	1		2				
	2007	1	13	4	23	21.1	4	1	8.1			1	"RUSSIA"	"S. KURIL ISLANDS"	46.243	154.524	0.4	47																											
	2007	8	2	2	37	42.3	4	1	6.2			0	"RUSSIA"	"TATAR STRAIT"	47.116	141.798	3.2	18																2	1			12	1		1	11	1	20	1
	2009	1	15	17	49	39	4	1	7.4			0	"RUSSIA"	"KAMCHATKA"	46.857	155.154	0.11	11																											
	2013	4	19	3	5	52.6	2	1	7.2			0	"RUSSIA"	"S. KURIL ISLANDS"	46.221	150.788	0.2	1																											
	2017	7	17	23	34	13.7	4	1	7.7			0	"RUSSIA"	"BERING ISLAND"	54.443	168.857	0.1	1																											
	2018	12	11	4	48		4	8				0	"RUSSIA"	"BUREYA, FAR EASTERN RUSSIA"	50.559	131.472	90	49																											
	2018	12	20	17	1	55	2	1	7.3			0	"RUSSIA"	"KAMCHATKA"	55.1	164.699		0																											
	2019	6	26	2	18	7	2	1	6.3			0	"RUSSIA"	"KAMCHATKA"	56.182	164.088		0																											
	2020	3	25	2	49	21	4	1	7.5			0	"RUSSIA"	"N. KURIL ISLANDS"	48.986	157.693	0.25	16																											
	2024	8	17	19	10	26	4	1	7	7571		0	"RUSSIA"	"KAMCHATKA"	52.924	160.141	0	1																											
